CMDLINE 33517
MEM 647.671875 1724445607.9206
MEM 647.671875 1724445608.0266
MEM 647.671875 1724445608.1324
MEM 647.671875 1724445608.2348
MEM 647.671875 1724445608.3399
MEM 647.671875 1724445608.4452
MEM 647.671875 1724445608.5507
MEM 647.671875 1724445608.6562
MEM 647.671875 1724445608.7616
MEM 647.671875 1724445608.8627
MEM 647.671875 1724445608.9678
MEM 647.671875 1724445609.0722
MEM 647.671875 1724445609.1761
MEM 647.671875 1724445609.2807
MEM 647.671875 1724445609.3861
MEM 647.671875 1724445609.4916
MEM 647.671875 1724445609.5956
MEM 647.671875 1724445609.7004
MEM 647.671875 1724445609.8058
MEM 647.671875 1724445609.9082
MEM 647.671875 1724445610.0094
MEM 647.671875 1724445610.1237
MEM 647.671875 1724445610.2290
MEM 647.671875 1724445610.3333
MEM 647.671875 1724445610.4393
MEM 647.671875 1724445610.5451
MEM 647.671875 1724445610.6484
MEM 647.671875 1724445610.7557
MEM 647.671875 1724445610.8581
MEM 647.671875 1724445610.9636
MEM 647.671875 1724445611.0688
MEM 647.671875 1724445611.1742
MEM 647.671875 1724445611.2764
MEM 647.671875 1724445611.3821
MEM 647.671875 1724445611.4890
MEM 647.671875 1724445611.5944
MEM 647.671875 1724445611.6998
MEM 647.671875 1724445611.8026
MEM 647.671875 1724445611.9073
MEM 647.671875 1724445612.0083
MEM 647.671875 1724445612.1122
MEM 647.671875 1724445612.2176
MEM 647.671875 1724445612.3190
MEM 647.671875 1724445612.4197
MEM 647.671875 1724445612.5248
MEM 647.671875 1724445612.6301
MEM 647.671875 1724445612.7349
MEM 647.671875 1724445612.8364
MEM 647.671875 1724445612.9371
MEM 647.671875 1724445613.0392
MEM 647.671875 1724445613.1447
MEM 647.671875 1724445613.2498
MEM 647.671875 1724445613.3553
MEM 647.671875 1724445613.4562
MEM 647.671875 1724445613.5581
MEM 647.671875 1724445613.6645
MEM 647.671875 1724445613.7709
MEM 647.671875 1724445613.8745
MEM 647.671875 1724445613.9769
MEM 647.671875 1724445614.0788
MEM 647.671875 1724445614.1816
MEM 647.671875 1724445614.2841
MEM 647.671875 1724445614.3895
MEM 647.671875 1724445614.4948
MEM 647.671875 1724445614.6002
MEM 647.671875 1724445614.7056
MEM 647.671875 1724445614.8110
MEM 647.671875 1724445614.9124
MEM 647.671875 1724445615.0178
MEM 647.671875 1724445615.1233
MEM 647.671875 1724445615.2284
MEM 647.671875 1724445615.3324
MEM 647.671875 1724445615.4378
MEM 647.671875 1724445615.5416
MEM 647.671875 1724445615.6473
MEM 647.671875 1724445615.7527
MEM 647.671875 1724445615.8575
MEM 647.671875 1724445615.9623
MEM 647.671875 1724445616.0659
MEM 647.671875 1724445616.1706
MEM 647.671875 1724445616.2728
MEM 647.671875 1724445616.3778
MEM 647.671875 1724445616.4830
MEM 647.671875 1724445616.5884
MEM 647.671875 1724445616.6886
MEM 647.671875 1724445616.7908
MEM 647.671875 1724445616.8940
MEM 647.671875 1724445616.9996
MEM 647.671875 1724445617.1051
MEM 647.671875 1724445617.2058
MEM 647.671875 1724445617.3111
MEM 647.671875 1724445617.4159
MEM 647.671875 1724445617.5205
MEM 647.671875 1724445617.6256
MEM 647.671875 1724445617.7309
MEM 647.671875 1724445617.8372
MEM 647.671875 1724445617.9426
MEM 647.671875 1724445618.0480
MEM 647.671875 1724445618.1534
MEM 647.671875 1724445618.2578
MEM 647.671875 1724445618.3625
MEM 647.671875 1724445618.4648
MEM 647.671875 1724445618.5702
MEM 647.671875 1724445618.6743
MEM 647.671875 1724445618.7796
MEM 647.671875 1724445618.8850
MEM 647.671875 1724445618.9870
MEM 647.671875 1724445619.0912
MEM 647.671875 1724445619.1971
MEM 647.671875 1724445619.2993
MEM 647.671875 1724445619.4039
MEM 647.671875 1724445619.5088
MEM 647.671875 1724445619.6143
MEM 647.671875 1724445619.7160
MEM 647.671875 1724445619.8225
MEM 647.671875 1724445619.9244
MEM 647.671875 1724445620.0300
MEM 647.671875 1724445620.1330
MEM 647.671875 1724445620.2415
MEM 647.671875 1724445620.3474
MEM 647.671875 1724445620.4530
MEM 647.671875 1724445620.5578
MEM 647.671875 1724445620.6584
MEM 647.671875 1724445620.7591
MEM 647.671875 1724445620.8640
MEM 647.671875 1724445620.9695
MEM 647.671875 1724445621.0747
MEM 647.671875 1724445621.1769
MEM 647.671875 1724445621.2791
MEM 647.671875 1724445621.3845
MEM 647.671875 1724445621.4899
MEM 647.671875 1724445621.5940
MEM 647.671875 1724445621.6968
MEM 647.671875 1724445621.8016
MEM 647.671875 1724445621.9021
MEM 647.671875 1724445622.0069
MEM 647.671875 1724445622.1123
MEM 647.671875 1724445622.2176
MEM 647.671875 1724445622.3198
MEM 647.671875 1724445622.4248
MEM 647.671875 1724445622.5284
MEM 647.671875 1724445622.6303
MEM 647.671875 1724445622.7348
MEM 647.671875 1724445622.8403
MEM 647.671875 1724445622.9455
MEM 647.671875 1724445623.0508
MEM 647.671875 1724445623.1567
MEM 647.671875 1724445623.2607
MEM 647.671875 1724445623.3650
MEM 647.671875 1724445623.4704
MEM 647.671875 1724445623.5755
MEM 647.671875 1724445623.6773
MEM 647.671875 1724445623.7782
MEM 647.671875 1724445623.8831
